job_id,dataset,model,task,total_rows,train_rows,n_features,profile,cpus,mem_gb,time
0,Airlines_DepDelay_10M,xgboost,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
1,Airlines_DepDelay_10M,catboost,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
2,Airlines_DepDelay_10M,tabicl_v1,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
3,Airlines_DepDelay_10M,tabicl_v1.1,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
4,Airlines_DepDelay_10M,tabicl_v2,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
5,Airlines_DepDelay_10M,tabpfn_v2,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
6,Airlines_DepDelay_10M,tabpfn_v2.5,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
7,Airlines_DepDelay_10M,tabpfn_v2.6,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
8,Airlines_DepDelay_10M,tabpfn_v3,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
9,Airlines_DepDelay_10M,tabpfn_v3.5,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
10,Airlines_DepDelay_10M,tabpfn_v3.5_fast,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
11,Airlines_DepDelay_10M,tabdpt_v1.3,regression,10000000,6400000,9,xxlarge,12,120,12:00:00
12,KDDCup99,xgboost,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
13,KDDCup99,catboost,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
14,KDDCup99,tabicl_v1,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
15,KDDCup99,tabicl_v1.1,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
16,KDDCup99,tabicl_v2,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
17,KDDCup99,tabpfn_v2,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
18,KDDCup99,tabpfn_v2.5,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
19,KDDCup99,tabpfn_v2.6,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
20,KDDCup99,tabpfn_v3,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
21,KDDCup99,tabpfn_v3.5,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
22,KDDCup99,tabpfn_v3.5_fast,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
23,KDDCup99,tabdpt_v1.3,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
24,sf-police-incidents,xgboost,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
25,sf-police-incidents,catboost,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
26,sf-police-incidents,tabicl_v1,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
27,sf-police-incidents,tabicl_v1.1,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
28,sf-police-incidents,tabicl_v2,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
29,sf-police-incidents,tabpfn_v2,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
30,sf-police-incidents,tabpfn_v2.5,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
31,sf-police-incidents,tabpfn_v2.6,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
32,sf-police-incidents,tabpfn_v3,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
33,sf-police-incidents,tabpfn_v3.5,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
34,sf-police-incidents,tabpfn_v3.5_fast,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
35,sf-police-incidents,tabdpt_v1.3,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
36,microsoft,xgboost,regression,1200192,723412,136,xlarge,12,120,08:00:00
37,microsoft,catboost,regression,1200192,723412,136,xlarge,12,120,08:00:00
38,microsoft,tabicl_v1,regression,1200192,723412,136,xlarge,12,120,08:00:00
39,microsoft,tabicl_v1.1,regression,1200192,723412,136,xlarge,12,120,08:00:00
40,microsoft,tabicl_v2,regression,1200192,723412,136,xlarge,12,120,08:00:00
