job_id,dataset,model,task,total_rows,train_rows,n_features,profile,cpus,mem_gb,time
84,Smoking_and_Drinking_Dataset_with_body_signal,xgboost,binclass,991346,634460,23,large,8,96,04:00:00
85,Smoking_and_Drinking_Dataset_with_body_signal,catboost,binclass,991346,634460,23,large,8,96,04:00:00
86,Smoking_and_Drinking_Dataset_with_body_signal,tabicl_v1,binclass,991346,634460,23,large,8,96,04:00:00
87,Smoking_and_Drinking_Dataset_with_body_signal,tabicl_v1.1,binclass,991346,634460,23,large,8,96,04:00:00
88,Smoking_and_Drinking_Dataset_with_body_signal,tabicl_v2,binclass,991346,634460,23,large,8,96,04:00:00
89,Smoking_and_Drinking_Dataset_with_body_signal,tabpfn_v2,binclass,991346,634460,23,large,8,96,04:00:00
90,Smoking_and_Drinking_Dataset_with_body_signal,tabpfn_v2.5,binclass,991346,634460,23,large,8,96,04:00:00
91,Smoking_and_Drinking_Dataset_with_body_signal,tabpfn_v2.6,binclass,991346,634460,23,large,8,96,04:00:00
92,Smoking_and_Drinking_Dataset_with_body_signal,tabpfn_v3,binclass,991346,634460,23,large,8,96,04:00:00
93,Smoking_and_Drinking_Dataset_with_body_signal,tabpfn_v3.5,binclass,991346,634460,23,large,8,96,04:00:00
94,Smoking_and_Drinking_Dataset_with_body_signal,tabpfn_v3.5_fast,binclass,991346,634460,23,large,8,96,04:00:00
95,Smoking_and_Drinking_Dataset_with_body_signal,tabdpt_v1.3,binclass,991346,634460,23,large,8,96,04:00:00
96,yahoo,xgboost,regression,709877,473134,699,large,8,96,04:00:00
97,yahoo,catboost,regression,709877,473134,699,large,8,96,04:00:00
98,yahoo,tabicl_v1,regression,709877,473134,699,large,8,96,04:00:00
99,yahoo,tabicl_v1.1,regression,709877,473134,699,large,8,96,04:00:00
100,yahoo,tabicl_v2,regression,709877,473134,699,large,8,96,04:00:00
101,yahoo,tabpfn_v2,regression,709877,473134,699,large,8,96,04:00:00
102,yahoo,tabpfn_v2.5,regression,709877,473134,699,large,8,96,04:00:00
103,yahoo,tabpfn_v2.6,regression,709877,473134,699,large,8,96,04:00:00
104,yahoo,tabpfn_v3,regression,709877,473134,699,large,8,96,04:00:00
105,yahoo,tabpfn_v3.5,regression,709877,473134,699,large,8,96,04:00:00
106,yahoo,tabpfn_v3.5_fast,regression,709877,473134,699,large,8,96,04:00:00
107,yahoo,tabdpt_v1.3,regression,709877,473134,699,large,8,96,04:00:00
108,Data_Science_for_Good_Kiva_Crowdfunding,xgboost,multiclass,671205,429571,11,large,8,96,04:00:00
109,Data_Science_for_Good_Kiva_Crowdfunding,catboost,multiclass,671205,429571,11,large,8,96,04:00:00
110,Data_Science_for_Good_Kiva_Crowdfunding,tabicl_v1,multiclass,671205,429571,11,large,8,96,04:00:00
111,Data_Science_for_Good_Kiva_Crowdfunding,tabicl_v1.1,multiclass,671205,429571,11,large,8,96,04:00:00
112,Data_Science_for_Good_Kiva_Crowdfunding,tabicl_v2,multiclass,671205,429571,11,large,8,96,04:00:00
113,Data_Science_for_Good_Kiva_Crowdfunding,tabpfn_v2,multiclass,671205,429571,11,large,8,96,04:00:00
114,Data_Science_for_Good_Kiva_Crowdfunding,tabpfn_v2.5,multiclass,671205,429571,11,large,8,96,04:00:00
115,Data_Science_for_Good_Kiva_Crowdfunding,tabpfn_v2.6,multiclass,671205,429571,11,large,8,96,04:00:00
116,Data_Science_for_Good_Kiva_Crowdfunding,tabpfn_v3,multiclass,671205,429571,11,large,8,96,04:00:00
117,Data_Science_for_Good_Kiva_Crowdfunding,tabpfn_v3.5,multiclass,671205,429571,11,large,8,96,04:00:00
118,Data_Science_for_Good_Kiva_Crowdfunding,tabpfn_v3.5_fast,multiclass,671205,429571,11,large,8,96,04:00:00
119,Data_Science_for_Good_Kiva_Crowdfunding,tabdpt_v1.3,multiclass,671205,429571,11,large,8,96,04:00:00
120,covertype,xgboost,multiclass,581012,371847,54,large,8,96,04:00:00
121,covertype,catboost,multiclass,581012,371847,54,large,8,96,04:00:00
122,covertype,tabicl_v1,multiclass,581012,371847,54,large,8,96,04:00:00
123,covertype,tabicl_v1.1,multiclass,581012,371847,54,large,8,96,04:00:00
124,covertype,tabicl_v2,multiclass,581012,371847,54,large,8,96,04:00:00
125,covertype,tabpfn_v2,multiclass,581012,371847,54,large,8,96,04:00:00
126,covertype,tabpfn_v2.5,multiclass,581012,371847,54,large,8,96,04:00:00
127,covertype,tabpfn_v2.6,multiclass,581012,371847,54,large,8,96,04:00:00
128,covertype,tabpfn_v3,multiclass,581012,371847,54,large,8,96,04:00:00
129,covertype,tabpfn_v3.5,multiclass,581012,371847,54,large,8,96,04:00:00
130,covertype,tabpfn_v3.5_fast,multiclass,581012,371847,54,large,8,96,04:00:00
131,covertype,tabdpt_v1.3,multiclass,581012,371847,54,large,8,96,04:00:00
