job_id,dataset,model,task,total_rows,train_rows,n_features,profile,cpus,mem_gb,time
144,jannis,xgboost,multiclass,83733,53588,54,small,4,32,01:00:00
145,jannis,catboost,multiclass,83733,53588,54,small,4,32,01:00:00
146,jannis,tabicl_v1,multiclass,83733,53588,54,small,4,32,01:00:00
147,jannis,tabicl_v1.1,multiclass,83733,53588,54,small,4,32,01:00:00
148,jannis,tabicl_v2,multiclass,83733,53588,54,small,4,32,01:00:00
149,jannis,tabpfn_v2,multiclass,83733,53588,54,small,4,32,01:00:00
150,jannis,tabpfn_v2.5,multiclass,83733,53588,54,small,4,32,01:00:00
151,jannis,tabpfn_v2.6,multiclass,83733,53588,54,small,4,32,01:00:00
152,jannis,tabpfn_v3,multiclass,83733,53588,54,small,4,32,01:00:00
153,jannis,tabpfn_v3.5,multiclass,83733,53588,54,small,4,32,01:00:00
154,jannis,tabpfn_v3.5_fast,multiclass,83733,53588,54,small,4,32,01:00:00
155,jannis,tabdpt_v1.3,multiclass,83733,53588,54,small,4,32,01:00:00
156,Fashion-MNIST,xgboost,multiclass,70000,44800,784,small,4,32,01:00:00
157,Fashion-MNIST,catboost,multiclass,70000,44800,784,small,4,32,01:00:00
158,Fashion-MNIST,tabicl_v1,multiclass,70000,44800,784,small,4,32,01:00:00
159,Fashion-MNIST,tabicl_v1.1,multiclass,70000,44800,784,small,4,32,01:00:00
160,Fashion-MNIST,tabicl_v2,multiclass,70000,44800,784,small,4,32,01:00:00
161,Fashion-MNIST,tabpfn_v2,multiclass,70000,44800,784,small,4,32,01:00:00
162,Fashion-MNIST,tabpfn_v2.5,multiclass,70000,44800,784,small,4,32,01:00:00
163,Fashion-MNIST,tabpfn_v2.6,multiclass,70000,44800,784,small,4,32,01:00:00
164,Fashion-MNIST,tabpfn_v3,multiclass,70000,44800,784,small,4,32,01:00:00
165,Fashion-MNIST,tabpfn_v3.5,multiclass,70000,44800,784,small,4,32,01:00:00
166,Fashion-MNIST,tabpfn_v3.5_fast,multiclass,70000,44800,784,small,4,32,01:00:00
167,Fashion-MNIST,tabdpt_v1.3,multiclass,70000,44800,784,small,4,32,01:00:00
168,blogfeedback,xgboost,regression,60021,38412,276,small,4,32,01:00:00
169,blogfeedback,catboost,regression,60021,38412,276,small,4,32,01:00:00
170,blogfeedback,tabicl_v1,regression,60021,38412,276,small,4,32,01:00:00
171,blogfeedback,tabicl_v1.1,regression,60021,38412,276,small,4,32,01:00:00
172,blogfeedback,tabicl_v2,regression,60021,38412,276,small,4,32,01:00:00
173,blogfeedback,tabpfn_v2,regression,60021,38412,276,small,4,32,01:00:00
174,blogfeedback,tabpfn_v2.5,regression,60021,38412,276,small,4,32,01:00:00
175,blogfeedback,tabpfn_v2.6,regression,60021,38412,276,small,4,32,01:00:00
176,blogfeedback,tabpfn_v3,regression,60021,38412,276,small,4,32,01:00:00
