job_id,dataset,model,task,total_rows,train_rows,n_features,profile,cpus,mem_gb,time
12,KDDCup99,xgboost,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
13,KDDCup99,catboost,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
14,KDDCup99,tabicl_v1,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
15,KDDCup99,tabicl_v1.1,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
16,KDDCup99,tabicl_v2,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
17,KDDCup99,tabpfn_v2,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
18,KDDCup99,tabpfn_v2.5,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
19,KDDCup99,tabpfn_v2.6,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
20,KDDCup99,tabpfn_v3,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
21,KDDCup99,tabpfn_v3.5,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
22,KDDCup99,tabpfn_v3.5_fast,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
23,KDDCup99,tabdpt_v1.3,multiclass,4898431,3134995,41,xlarge,12,120,08:00:00
24,sf-police-incidents,xgboost,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
25,sf-police-incidents,catboost,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
26,sf-police-incidents,tabicl_v1,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
27,sf-police-incidents,tabicl_v1.1,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
28,sf-police-incidents,tabicl_v2,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
29,sf-police-incidents,tabpfn_v2,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
30,sf-police-incidents,tabpfn_v2.5,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
31,sf-police-incidents,tabpfn_v2.6,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
32,sf-police-incidents,tabpfn_v3,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
33,sf-police-incidents,tabpfn_v3.5,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
34,sf-police-incidents,tabpfn_v3.5_fast,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
35,sf-police-incidents,tabdpt_v1.3,binclass,2215023,1417614,8,xlarge,12,120,08:00:00
36,microsoft,xgboost,regression,1200192,723412,136,xlarge,12,120,08:00:00
37,microsoft,catboost,regression,1200192,723412,136,xlarge,12,120,08:00:00
38,microsoft,tabicl_v1,regression,1200192,723412,136,xlarge,12,120,08:00:00
39,microsoft,tabicl_v1.1,regression,1200192,723412,136,xlarge,12,120,08:00:00
40,microsoft,tabicl_v2,regression,1200192,723412,136,xlarge,12,120,08:00:00
41,microsoft,tabpfn_v2,regression,1200192,723412,136,xlarge,12,120,08:00:00
42,microsoft,tabpfn_v2.5,regression,1200192,723412,136,xlarge,12,120,08:00:00
43,microsoft,tabpfn_v2.6,regression,1200192,723412,136,xlarge,12,120,08:00:00
44,microsoft,tabpfn_v3,regression,1200192,723412,136,xlarge,12,120,08:00:00
45,microsoft,tabpfn_v3.5,regression,1200192,723412,136,xlarge,12,120,08:00:00
46,microsoft,tabpfn_v3.5_fast,regression,1200192,723412,136,xlarge,12,120,08:00:00
47,microsoft,tabdpt_v1.3,regression,1200192,723412,136,xlarge,12,120,08:00:00
48,poker-hand,xgboost,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
49,poker-hand,catboost,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
50,poker-hand,tabicl_v1,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
51,poker-hand,tabicl_v1.1,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
52,poker-hand,tabicl_v2,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
53,poker-hand,tabpfn_v2,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
54,poker-hand,tabpfn_v2.5,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
55,poker-hand,tabpfn_v2.6,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
56,poker-hand,tabpfn_v3,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
57,poker-hand,tabpfn_v3.5,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
58,poker-hand,tabpfn_v3.5_fast,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
59,poker-hand,tabdpt_v1.3,multiclass,1025009,656005,10,xlarge,12,120,08:00:00
60,Higgs,xgboost,binclass,1000000,640000,28,xlarge,12,120,08:00:00
61,Higgs,catboost,binclass,1000000,640000,28,xlarge,12,120,08:00:00
62,Higgs,tabicl_v1,binclass,1000000,640000,28,xlarge,12,120,08:00:00
63,Higgs,tabicl_v1.1,binclass,1000000,640000,28,xlarge,12,120,08:00:00
64,Higgs,tabicl_v2,binclass,1000000,640000,28,xlarge,12,120,08:00:00
65,Higgs,tabpfn_v2,binclass,1000000,640000,28,xlarge,12,120,08:00:00
66,Higgs,tabpfn_v2.5,binclass,1000000,640000,28,xlarge,12,120,08:00:00
67,Higgs,tabpfn_v2.6,binclass,1000000,640000,28,xlarge,12,120,08:00:00
68,Higgs,tabpfn_v3,binclass,1000000,640000,28,xlarge,12,120,08:00:00
69,Higgs,tabpfn_v3.5,binclass,1000000,640000,28,xlarge,12,120,08:00:00
70,Higgs,tabpfn_v3.5_fast,binclass,1000000,640000,28,xlarge,12,120,08:00:00
71,Higgs,tabdpt_v1.3,binclass,1000000,640000,28,xlarge,12,120,08:00:00
72,BNG(credit-a),xgboost,binclass,1000000,640000,15,xlarge,12,120,08:00:00
73,BNG(credit-a),catboost,binclass,1000000,640000,15,xlarge,12,120,08:00:00
74,BNG(credit-a),tabicl_v1,binclass,1000000,640000,15,xlarge,12,120,08:00:00
75,BNG(credit-a),tabicl_v1.1,binclass,1000000,640000,15,xlarge,12,120,08:00:00
76,BNG(credit-a),tabicl_v2,binclass,1000000,640000,15,xlarge,12,120,08:00:00
77,BNG(credit-a),tabpfn_v2,binclass,1000000,640000,15,xlarge,12,120,08:00:00
78,BNG(credit-a),tabpfn_v2.5,binclass,1000000,640000,15,xlarge,12,120,08:00:00
79,BNG(credit-a),tabpfn_v2.6,binclass,1000000,640000,15,xlarge,12,120,08:00:00
80,BNG(credit-a),tabpfn_v3,binclass,1000000,640000,15,xlarge,12,120,08:00:00
81,BNG(credit-a),tabpfn_v3.5,binclass,1000000,640000,15,xlarge,12,120,08:00:00
82,BNG(credit-a),tabpfn_v3.5_fast,binclass,1000000,640000,15,xlarge,12,120,08:00:00
83,BNG(credit-a),tabdpt_v1.3,binclass,1000000,640000,15,xlarge,12,120,08:00:00
